constituency_number,constituency_name,serial_number,candidate_name,party,evm_votes,postal_votes,total_votes,vote_percentage,constituency_name_freq,party_freq
114.0,MANJHI,13.0,missing,None of the Above,6106.0,7.0,6113.0,3.44,0.004547044421126268,0.08499475341028331
59.0,BANMANKHI,1.0,missing,Bharatiya Janata Party,122373.0,121.0,122494.0,57.26,0.002098635886673662,0.035327037425673315
165.0,MUNGER,3.0,missing,Bahujan Samaj Party,1032.0,7.0,1039.0,0.49,0.004197271773347324,0.06330884924798881
194.0,ARRAH,4.0,missing,Bhartiya Mahasangh Party,900.0,8.0,908.0,0.49,0.004896817068905212,0.001049317943336831
104.0,HATHUA,1.0,missing,Aam Aadmi Party,3114.0,3.0,3117.0,1.59,0.0038474991255683807,0.029031129765652326
207.0,CHENARI,10.0,missing,Rashtriya Jansambhavna Party,623.0,0.0,623.0,0.3,0.005596362364463099,0.017488632388947184
152.0,BIHPUR,7.0,missing,Independent,2035.0,8.0,2043.0,1.17,0.0038474991255683807,0.3235396991955229
240.0,SIKANDRA,5.0,missing,Hindustani Awam Morcha (Secular),91480.0,123.0,91603.0,47.16,0.0038474991255683807,0.002098635886673662
64.0,KADWA,13.0,missing,Independent,876.0,1.0,877.0,0.41,0.005946135012242042,0.3235396991955229
8.0,BETTIAH,7.0,missing,None of the Above,1977.0,4.0,1981.0,1.01,0.002448408534452606,0.08499475341028331
45.0,CHHATAPUR,14.0,missing,None of the Above,4763.0,4.0,4767.0,1.91,0.004896817068905212,0.08499475341028331
147.0,BAKHRI,3.0,missing,Rashtriya Suraksha Party,2056.0,4.0,2060.0,1.0,0.003497726477789437,0.0003497726477789437
16.0,KALYANPUR,4.0,missing,Bharatiya Janata Party,88759.0,298.0,89057.0,47.82,0.007345225603357817,0.035327037425673315
210.0,DINARA,9.0,missing,Independent,17756.0,83.0,17839.0,9.54,0.004547044421126268,0.3235396991955229
132.0,WARISNAGAR,10.0,missing,Independent,7248.0,7.0,7255.0,3.09,0.004896817068905212,0.3235396991955229
123.0,HAJIPUR,11.0,missing,Independent,845.0,3.0,848.0,0.38,0.004547044421126268,0.3235396991955229
177.0,HARNAUT,9.0,missing,Independent,1126.0,2.0,1128.0,0.59,0.004197271773347324,0.3235396991955229
61.0,DHAMDAHA,1.0,missing,Janata Dal (United),138613.0,137.0,138750.0,57.32,0.004197271773347324,0.035327037425673315
16.0,KALYANPUR,5.0,missing,Lohiya Janta Dal,2249.0,1.0,2250.0,1.21,0.007345225603357817,0.002098635886673662
179.0,BARH,4.0,missing,Rashtriya Sanatan Party,1340.0,0.0,1340.0,0.71,0.004547044421126268,0.0013990905911157748
143.0,TEGHRA,9.0,missing,Independent,582.0,4.0,586.0,0.28,0.004896817068905212,0.3235396991955229
193.0,BARHARA,14.0,missing,None of the Above,3460.0,11.0,3471.0,1.91,0.004896817068905212,0.08499475341028331
241.0,JAMUI,1.0,missing,Bahujan Samaj Party,1389.0,3.0,1392.0,0.64,0.004547044421126268,0.06330884924798881
22.0,SHEOHAR,3.0,missing,Janata Dal (United),97081.0,188.0,97269.0,46.29,0.004197271773347324,0.035327037425673315
2.0,RAMNAGAR,8.0,missing,Independent,2294.0,1.0,2295.0,1.08,0.0031479538300104933,0.3235396991955229
66.0,PRANPUR,14.0,missing,None of the Above,3313.0,0.0,3313.0,1.3,0.004896817068905212,0.08499475341028331
178.0,MOKAMA,6.0,missing,Lokhit Adhikar Party,1132.0,0.0,1132.0,0.61,0.0031479538300104933,0.0003497726477789437
55.0,KOCHADHAMAN,2.0,missing,Rashtriya Janata Dal,58431.0,408.0,58839.0,30.44,0.002448408534452606,0.050017488632388946
158.0,NATHNAGAR,1.0,missing,Lok Janshakti Party (Ram Vilas),117976.0,167.0,118143.0,48.92,0.005596362364463099,0.009793634137810424
76.0,SIMRI BAKHTIARPUR,8.0,missing,Independent,258.0,0.0,258.0,0.11,0.005596362364463099,0.3235396991955229
